Name,Current Rank,Highest Rank,Win Rate,Leetify Rating,T Rating,CT Rating,Aim,Utility,Positioning,Opening Duels,Clutching
Tião,Master Guardian 2,Distinguished Master Guardian,52%,+2.62,+1.48,+3.63,57,65,50,-1.04,+13.88,Tião.jpg
sidlejinks,Master Guardian 1,Master Guardian 2,43%,0.00,-0.26,+0.27,57,63,43,-0.05,+13.32,sidlejinks.jpg
D E S E J,Master Guardian 2,Distinguished Master Guardian,55%,+0.45,+2.62,-1.45,65,65,56,+0.91,+12.49,D_E_S_E_J.jpg
☠Prohundred☠,Master Guardian 1,Master Guardian Elite,50%,-0.63,-0.42,-0.86,67,60,29,-0.89,+6.08,☠Prohundred☠.jpg
Pako Rabani,Gold Nova Master,Distinguished Master Guardian,36%,-0.02,-0.65,+0.76,78,61,40,-0.82,+9.68,Pako_Rabani.jpg
AccuNor,Master Guardian 2,Legendary Eagle,29%,-4.98,-4.85,-5.09,11,44,34,-3.84,+5.08,AccuNor.jpg
Aving,Master Guardian 2,Supreme Master First Class,81%,+7.18,+9.40,+5.07,83,40,40,+2.95,+14.28,Aving.jpg
JACKIE FROST,Master Guardian Elite,Legendary Eagle,52%,+1.72,+4.34,-0.91,66,69,44,-0.66,+14.56,JACKIE_FROST.jpg
Brx,Master Guardian 2,Distinguished Master Guardian,57%,-2.10,-0.28,-3.75,63,57,57,-1.16,+5.13,Brx.jpg
♕Dominance♕,Master Guardian 2,Master Guardian Elite,52%,+0.21,-0.29,+0.75,59,62,47,+0.19,+11.56,♕Dominance♕.jpg
